dataset,task,task_type,src_entity,dst_entity,num_graphs,full_idx
rel-amazon,user-churn,gnn_node,customer,,3,1
rel-amazon,user-ltv,gnn_node,customer,,3,1
rel-amazon,item-churn,gnn_node,product,,3,1
rel-amazon,item-ltv,gnn_node,product,,3,1
rel-amazon,user-item-purchase,gnn_link,customer,product,2,0
rel-amazon,user-item-purchase,idgnn_link,customer,product,2,0
rel-amazon,user-item-rate,gnn_link,customer,product,2,0
rel-amazon,user-item-rate,idgnn_link,customer,product,2,0
rel-amazon,user-item-review,gnn_link,customer,product,2,0
rel-amazon,user-item-review,idgnn_link,customer,product,2,0
rel-avito,ad-ctr,gnn_node,AdsInfo,,1304,241
rel-avito,user-visits,gnn_node,UserInfo,,944,79
rel-avito,user-clicks,gnn_node,UserInfo,,944,79
rel-avito,user-ad-visit,gnn_link,UserInfo,AdsInfo,2868,1312
rel-avito,user-ad-visit,idgnn_link,UserInfo,AdsInfo,909,44
rel-event,user-attendance,gnn_node,users,,214,98
rel-event,user-repeat,gnn_node,users,,214,98
rel-event,user-ignore,gnn_node,users,,214,98
rel-f1,driver-position,gnn_node,drivers,,722,73
rel-f1,driver-dnf,gnn_node,drivers,,722,73
rel-f1,driver-top3,gnn_node,drivers,,722,73
rel-hm,user-item-purchase,gnn_link,customer,article,2,0
rel-hm,user-item-purchase,idgnn_link,customer,article,2,0
rel-hm,user-churn,gnn_node,customer,,3,1
rel-hm,item-sales,gnn_node,article,,3,1
rel-stack,user-engagement,gnn_node,users,,7493,2100
rel-stack,post-votes,gnn_node,posts,,7979,2478
rel-stack,user-badge,gnn_node,users,,7493,2100
rel-stack,user-post-comment,gnn_link,users,posts,9825,3952
rel-stack,user-post-comment,idgnn_link,users,posts,7478,2085
rel-stack,post-post-related,gnn_link,posts,posts,7979,2478
rel-stack,post-post-related,idgnn_link,posts,posts,7979,2478
rel-trial,study-outcome,gnn_node,studies,,36863,9070
rel-trial,study-adverse,gnn_node,studies,,36863,9070
rel-trial,site-success,gnn_node,facilities,,2594,1
rel-trial,condition-sponsor-run,gnn_link,conditions,sponsors,4324,3
rel-trial,condition-sponsor-run,idgnn_link,conditions,sponsors,864,-1
rel-trial,site-sponsor-run,gnn_link,facilities,sponsors,4324,3
rel-trial,site-sponsor-run,idgnn_link,facilities,sponsors,864,-1
